ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-13201,"08/09/2023, 2:00:00 AM","08/10/2023, 4:34:02 PM",NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,ARSON-PROPERTY,Other,ARSON-PROPERTY
23-13233,"08/07/2023, 7:00:00 AM","08/10/2023, 4:34:01 PM",NEW WESTMINSTER,BC,V3M 1T4,1000 Block 4TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-13180,"08/08/2023, 7:03:00 PM","08/10/2023, 4:34:02 PM",NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-13149,"08/08/2023, 4:18:00 AM","08/09/2023, 4:44:49 PM",NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13174,"08/08/2023, 5:12:00 PM","08/09/2023, 4:44:49 PM",NEW WESTMINSTER,BC,V3L 5H8,100 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12597,"07/30/2023, 10:48:00 PM","08/09/2023, 4:44:49 PM",NEW WESTMINSTER,BC,.,OF 6TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-13172,"08/05/2023, 12:00:00 AM","08/09/2023, 4:44:49 PM",NEW WESTMINSTER,BC,V3M 4H4,1100 Block QUEENS AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-80262,"07/26/2023, 10:35:00 AM","08/09/2023, 4:44:49 PM",NEW WESTMINSTER,BC,V3M 5L2,300 Block LAWRENCE ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-80257,"07/17/2023, 7:00:00 AM","08/08/2023, 4:56:14 PM",NEW WESTMINSTER,BC,V3M 5L9,200 Block HAMPTON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-80259,"08/02/2023, 8:35:00 AM","08/08/2023, 4:56:14 PM",NEW WESTMINSTER,BC,V3L 1A7,300 Block COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-80261,"08/06/2023, 7:00:00 PM","08/08/2023, 4:56:14 PM",NEW WESTMINSTER,BC,V3M 5B1,200 Block FURNESS ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-13104,"08/07/2023, 10:32:00 AM","08/08/2023, 4:56:14 PM",NEW WESTMINSTER,BC,V3M 0E5,200 Block SALTER ST,THEFT MOTORCYCLE OVER $5000,Theft of Vehicle,THEFT MOTORCYCLE OVER $5000
23-13115,"08/07/2023, 4:26:00 PM","08/08/2023, 4:56:14 PM",NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT OTHER VEHICLE U/$5000,Theft of Vehicle,THEFT OTHER VEHICLE U/$5000
23-13079,"08/04/2023, 8:00:00 PM","08/08/2023, 4:56:14 PM",NEW WESTMINSTER,BC,V3L 1G2,400 Block AGNES ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13057,"08/06/2023, 3:26:00 PM","08/07/2023, 4:53:17 PM",NEW WESTMINSTER,BC,V3M 1G8,100 Block AGNES ST,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000
23-13025,"07/30/2023, 12:00:00 AM","08/07/2023, 4:53:17 PM",NEW WESTMINSTER,BC,V3L 5N3,300 Block CUMBERLAND ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-13024,"08/05/2023, 10:38:00 PM","08/07/2023, 4:53:17 PM",NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-13060,"08/06/2023, 5:00:00 AM","08/07/2023, 4:53:17 PM",NEW WESTMINSTER,BC,V3L 3R2,400 Block ROUSSEAU ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-13068,"08/06/2023, 6:56:00 PM","08/07/2023, 4:53:17 PM",NEW WESTMINSTER,BC,V3M 3K3,700 Block QUEENS AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13033,"08/06/2023, 2:07:00 AM","08/07/2023, 4:53:17 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12796,"08/02/2023, 4:23:00 PM","08/06/2023, 4:12:29 PM",NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,THEFT FROM MV OVER $5000,Theft from Vehicle,THEFT FROM MV OVER $5000
23-13021,"08/05/2023, 7:11:00 PM","08/06/2023, 4:12:29 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-12965,"08/04/2023, 8:24:00 PM","08/06/2023, 4:12:29 PM",NEW WESTMINSTER,BC,V3L 3W7,400 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-12986,"08/05/2023, 1:55:00 AM","08/06/2023, 4:12:29 PM",NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12951,"08/04/2023, 4:45:00 AM","08/05/2023, 4:34:14 PM",NEW WESTMINSTER,BC,V3N,1100 Block 10TH AVE,THEFT OF TRUCK OVER $5000,Theft of Vehicle,THEFT OF TRUCK OVER $5000
23-12901,"08/03/2023, 2:00:00 PM","08/05/2023, 4:34:14 PM",NEW WESTMINSTER,BC,V3L 1B1,500 Block COLUMBIA ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-12957,"08/04/2023, 7:08:00 PM","08/05/2023, 4:34:14 PM",NEW WESTMINSTER,BC,V3L 3B4,500 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12877,"08/03/2023, 5:14:00 PM","08/05/2023, 4:34:15 PM",NEW WESTMINSTER,BC,V3M 3P9,1 Block ST & MILTON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12892,"08/03/2023, 9:00:00 PM","08/05/2023, 4:34:14 PM",NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12872,"08/03/2023, 4:26:00 PM","08/05/2023, 4:34:14 PM",NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-12878,"08/03/2023, 5:33:00 PM","08/05/2023, 4:34:14 PM",NEW WESTMINSTER,BC,V3L 3T6,300 Block SHERBROOKE ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-12824,"08/02/2023, 10:22:00 PM","08/04/2023, 4:09:39 PM",NEW WESTMINSTER,BC,V3L,1 Block AVE & MCBRIDE BLVD,FRAUD-OTHER,Property Crime,FRAUD-OTHER
23-12846,"08/03/2023, 4:20:00 AM","08/04/2023, 4:09:39 PM",NEW WESTMINSTER,BC,.,BRAID ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-80254,"07/30/2023, 9:00:00 PM","08/04/2023, 4:09:39 PM",NEW WESTMINSTER,BC,V3L 5E9,100 Block OVENS AVE,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-12829,"08/02/2023, 10:50:00 PM","08/04/2023, 4:09:39 PM",NEW WESTMINSTER,BC,V3M 3S2,600 Block 8TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
