,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude
513,540,23-940,2023-01-16 22:44:00+00:00,2023-01-18 17:50:03+00:00,NEW WESTMINSTER,BC,V3M 4H2,200 Block 12TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2015149,-122.923801
514,541,23-816,2023-01-16 20:02:00+00:00,2023-01-18 17:50:02+00:00,NEW WESTMINSTER,BC,V3M,LAGUNA CRT,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.1997197,-122.9228961
515,542,23-804,2023-01-17 04:00:00+00:00,2023-01-18 17:50:02+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.200803,-122.9134438
516,543,23-855,2023-01-17 19:44:00+00:00,2023-01-18 17:50:02+00:00,NEW WESTMINSTER,BC,V3M 1N8,800 Block 3RD AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2066167,-122.9181661
517,544,23-865,2023-01-16 17:51:00+00:00,2023-01-17 17:46:41+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,ROBBERY-OTHER,Robbery,ROBBERY-OTHER,49.200803,-122.9134438
518,545,23-798,2023-01-16 20:43:00+00:00,2023-01-17 17:46:41+00:00,NEW WESTMINSTER,BC,V3L 3A8,600 Block BLACKFORD ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.20944220000001,-122.9156902
519,546,23-807,2023-01-16 17:50:00+00:00,2023-01-17 17:46:41+00:00,NEW WESTMINSTER,BC,V3M 3M9,400 Block ASH ST,MISCHIEF OVER $5000,Property Crime,MISCHIEF OVER $5000,49.20887580000001,-122.9197727
520,547,23-797,2023-01-15 22:26:00+00:00,2023-01-17 17:46:41+00:00,NEW WESTMINSTER,BC,V3L 4W2,800 Block SURREY ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2306842,-122.8990133
521,548,23-763,2023-01-15 21:20:00+00:00,2023-01-17 17:46:41+00:00,NEW WESTMINSTER,BC,V3L 5B9,600 Block ALLISON PL,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.2221459,-122.9045381
522,549,23-759,2023-01-14 20:00:00+00:00,2023-01-17 17:46:41+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2225852,-122.914627
523,550,23-80011,2023-01-13 23:10:00+00:00,2023-01-17 17:46:41+00:00,NEW WESTMINSTER,BC,V3L,200 Block ROYAL AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.20827000000001,-122.90484
524,551,23-665,2023-01-15 16:54:00+00:00,2023-01-16 17:07:25+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405
525,552,23-752,2023-01-14 22:50:00+00:00,2023-01-16 17:07:25+00:00,NEW WESTMINSTER,BC,V3L 4V7,800 Block BURNABY ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2295959,-122.8989391
526,553,23-710,2023-01-15 16:23:00+00:00,2023-01-16 17:07:26+00:00,NEW WESTMINSTER,BC,V3L,300 Block MCBRIDE BLVD,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2160609,-122.9039672
527,554,23-750,2023-01-14 10:28:00+00:00,2023-01-16 17:07:26+00:00,NEW WESTMINSTER,BC,.,COLUMBIA ST & FRONT ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2005432,-122.9127291
